"ID","Name","Sample Date","Population","Virus/L","Weekly Geomean","Population Avg","Week Mid Date","Week"
16,"Enid",2022-06-13,49583,35188.5387004637,35188.5387004637,35188.5387004637,"06/15/2022","06/12/2022 - 06/18/2022"
16,"Enid",2022-06-20,49583,251225.670206377,251225.670206378,251225.670206378,"06/22/2022","06/19/2022 - 06/25/2022"
16,"Enid",2022-06-28,49583,100179.650307972,100179.650307972,100179.650307972,"06/29/2022","06/26/2022 - 07/02/2022"
16,"Enid",2022-07-05,49583,180688.929503747,180688.929503747,180688.929503747,"07/06/2022","07/03/2022 - 07/09/2022"
16,"Enid",2022-07-11,49583,1143160.31314628,1143160.31314628,1143160.31314628,"07/13/2022","07/10/2022 - 07/16/2022"
16,"Enid",2022-07-18,49583,704418.488690157,704418.488690157,704418.488690157,"07/20/2022","07/17/2022 - 07/23/2022"
16,"Enid",2022-07-25,49583,568578.494572418,568578.494572418,568578.494572418,"07/27/2022","07/24/2022 - 07/30/2022"
16,"Enid",2022-08-03,49583,463339.999985987,463339.999985987,463339.999985987,"08/03/2022","07/31/2022 - 08/06/2022"
16,"Enid",2022-08-08,49583,95986.8436191137,95986.8436191138,101259.944143353,"08/10/2022","08/07/2022 - 08/13/2022"
28,"Elk City",2022-08-11,11561,123875.301231266,123875.301231266,247885.089007505,"08/17/2022","08/14/2022 - 08/20/2022"
16,"Enid",2022-08-16,49583,247885.089007505,247885.089007505,283097.222562382,"08/24/2022","08/21/2022 - 08/27/2022"
16,"Enid",2022-08-22,49583,322003.538815677,322003.538815677,689479.745309304,"08/31/2022","08/28/2022 - 09/03/2022"
28,"Elk City",2022-08-24,11561,298460.478294994,298460.478294994,744879.17605432,"09/07/2022","09/04/2022 - 09/10/2022"
31,"Clinton",2022-08-25,8380,31700.268109895,31700.268109895,363989.644022628,"09/14/2022","09/11/2022 - 09/17/2022"
16,"Enid",2022-08-29,49583,922007.793277796,922007.793277796,216062.467726703,"09/21/2022","09/18/2022 - 09/24/2022"
31,"Clinton",2022-09-01,8380,211731.057773051,211731.057773051,63130.0741381352,"09/28/2022","09/25/2022 - 10/01/2022"
28,"Elk City",2022-09-01,11561,38506.2827309854,38506.2827309854,93886.216246689,"10/05/2022","10/02/2022 - 10/08/2022"
16,"Enid",2022-09-06,49583,821865.499879038,821865.499879039,188152.601044864,"10/12/2022","10/09/2022 - 10/15/2022"
28,"Elk City",2022-09-07,11561,414699.010480322,414699.010480322,230994.714301117,"10/19/2022","10/16/2022 - 10/22/2022"
31,"Clinton",2022-09-08,8380,NA,NA,137659.314842003,"10/26/2022","10/23/2022 - 10/29/2022"
16,"Enid",2022-09-13,49583,474968.179482622,474968.179482622,NA,NA,NA
16,"Enid",2022-09-19,49583,217970.508323109,217970.508323109,NA,NA,NA
28,"Elk City",2022-09-15,11561,92237.0537777484,92237.0537777485,NA,NA,NA
31,"Clinton",2022-09-15,8380,82257.3017921003,82257.3017921003,NA,NA,NA
28,"Elk City",2022-09-21,11561,435220.385961976,435220.385961976,NA,NA,NA
31,"Clinton",2022-09-22,8380,1250,1250,NA,NA,NA
34,"Woodward",2022-09-20,11998,147037.414379495,147037.414379495,NA,NA,NA
16,"Enid",2022-09-26,49583,26331.6339934671,26331.6339934671,NA,NA,NA
28,"Elk City",2022-09-28,11561,167002.015117058,167002.015117058,NA,NA,NA
31,"Clinton",2022-09-29,8380,18390.405305648,18390.405305648,NA,NA,NA
34,"Woodward",2022-09-27,11998,146363.27740968,146363.27740968,NA,NA,NA
16,"Enid",2022-10-03,49583,57702.8119743174,57702.8119743174,NA,NA,NA
35,"Guymon",2022-10-03,12561,108554.383551564,108554.383551564,NA,NA,NA
31,"Clinton",2022-10-06,8380,152554.042821082,152554.042821082,NA,NA,NA
16,"Enid",2022-10-10,49583,130129.0652,130129.0652,NA,NA,NA
28,"Elk City",2022-10-04,11561,144486.5164,144486.5164,NA,NA,NA
34,"Woodward",2022-10-05,11998,138327.6588,138327.6588,NA,NA,NA
35,"Guymon",2022-10-10,12561,3539.937652,3539.937652,NA,NA,NA
34,"Woodward",2022-10-11,11998,165901.541,165901.541,NA,NA,NA
28,"Elk City",2022-10-12,11561,660678.2356,660678.2356,NA,NA,NA
16,"Enid",2022-10-17,49583,88071.31454,88071.31454,NA,NA,NA
34,"Woodward",2022-10-18,11998,1209469.141,1209469.141,NA,NA,NA
28,"Elk City",2022-10-19,11561,160801.4107,160801.4107,NA,NA,NA
31,"Clinton",2022-10-20,8380,1250,1250,NA,NA,NA
35,"Guymon",2022-10-17,12561,78427.26327,78427.26327,NA,NA,NA
16,"Enid",2022-10-23,49583,57301.8982339827,57301.8982339827,NA,NA,NA
35,"Guymon",2022-10-24,12561,295872.596796391,295872.596796391,NA,NA,NA
34,"Woodward",2022-10-25,11998,350631.1878471,350631.1878471,NA,NA,NA
28,"Elk City",2022-10-26,11561,89377.0054164582,89377.0054164582,NA,NA,NA
