"ID","Name","Sample Date","Population","Virus/L","Weekly Geomean","Population Avg","Week Mid Date","Week"
15,"Sallisaw",2022-06-12,8410,165270.711791188,165270.711791188,165270.711791188,"06/15/2022","06/12/2022 - 06/18/2022"
15,"Sallisaw",2022-06-21,8410,10476.1951888672,10476.1951888672,10476.1951888672,"06/22/2022","06/19/2022 - 06/25/2022"
15,"Sallisaw",2022-06-26,8410,71658.6495413206,333410.051075211,333410.051075211,"06/29/2022","06/26/2022 - 07/02/2022"
15,"Sallisaw",2022-07-02,8410,1551274.86869363,NA,998358.523817545,"07/13/2022","07/10/2022 - 07/16/2022"
23,"Muskogee",2022-07-10,36790,1148196.81156961,1148196.81156961,1357693.44476858,"07/20/2022","07/17/2022 - 07/23/2022"
15,"Sallisaw",2022-07-10,8410,342882.827456255,342882.827456255,223007.444313058,"07/27/2022","07/24/2022 - 07/30/2022"
23,"Muskogee",2022-07-17,36790,1180934.574,1180934.574,134376.344203649,"08/03/2022","07/31/2022 - 08/06/2022"
15,"Sallisaw",2022-07-17,8410,2130934.688,2130934.688,204320.055677221,"08/17/2022","08/14/2022 - 08/20/2022"
23,"Muskogee",2022-07-25,36790,258659.807396066,258659.807396066,178505.204253717,"08/24/2022","08/21/2022 - 08/27/2022"
15,"Sallisaw",2022-07-25,8410,67044.2531330489,67044.2531330489,858539.835779217,"08/31/2022","08/28/2022 - 09/03/2022"
23,"Muskogee",2022-07-31,36790,25033.3495987974,72774.0128988904,466723.262250458,"09/07/2022","09/04/2022 - 09/10/2022"
15,"Sallisaw",2022-07-31,8410,255950.576690822,403859.075321613,808035.623556176,"09/14/2022","09/11/2022 - 09/17/2022"
23,"Muskogee",2022-08-05,36790,211560.060410864,NA,364073.705336143,"09/21/2022","09/18/2022 - 09/24/2022"
15,"Sallisaw",2022-08-05,8410,637240.809645249,NA,178254.067726537,"09/28/2022","09/25/2022 - 10/01/2022"
30,"Tahlequah",2022-08-14,16463,255865.72698433,255865.72698433,112512.795950798,"10/05/2022","10/02/2022 - 10/08/2022"
23,"Muskogee",2022-08-15,36790,194534.294863956,194534.294863956,223030.63832088,"10/12/2022","10/09/2022 - 10/15/2022"
15,"Sallisaw",2022-08-16,8410,146225.139338468,146225.139338468,183569.431202495,"10/19/2022","10/16/2022 - 10/22/2022"
23,"Muskogee",2022-08-22,36790,134745.309854486,134745.309854486,95214.7269893397,"10/26/2022","10/23/2022 - 10/29/2022"
15,"Sallisaw",2022-08-22,8410,429145.177968168,429145.177968168,NA,NA,NA
30,"Tahlequah",2022-08-23,16463,148258.246591637,148258.246591637,NA,NA,NA
23,"Muskogee",2022-08-29,36790,692160.7424358,692160.7424358,NA,NA,NA
30,"Tahlequah",2022-08-29,16463,455900.765256364,455900.765256364,NA,NA,NA
15,"Sallisaw",2022-08-29,8410,2374560.50903986,2374560.50903986,NA,NA,NA
15,"Sallisaw",2022-09-05,8410,301300.452708807,301300.452708807,NA,NA,NA
30,"Tahlequah",2022-09-05,16463,551228.263055006,551228.263055007,NA,NA,NA
23,"Muskogee",NA,36790,148903.234347588,NA,NA,NA,NA
30,"Tahlequah",2022-09-12,16463,808035.623556177,808035.623556176,NA,NA,NA
23,"Muskogee",2022-09-18,36790,331753.718515731,331753.718515731,NA,NA,NA
15,"Sallisaw",2022-09-18,8410,1060688.27184989,1060688.27184989,NA,NA,NA
30,"Tahlequah",2022-09-19,16463,80439.1193398111,80439.1193398111,NA,NA,NA
15,"Sallisaw",2022-09-26,8410,65970.5304578319,65970.5304578319,NA,NA,NA
30,"Tahlequah",2022-09-26,16463,285704.740618086,285704.740618086,NA,NA,NA
23,"Muskogee",2022-09-26,36790,155838.849477455,155838.849477455,NA,NA,NA
23,"Muskogee",2022-10-03,36790,148179.511580385,148179.511580385,NA,NA,NA
15,"Sallisaw",2022-10-03,8410,91750.9752799128,91750.9752799128,NA,NA,NA
30,"Tahlequah",2022-10-04,16463,43414.1167203802,43414.1167203802,NA,NA,NA
23,"Muskogee",2022-10-10,36790,137551.6465,137551.6465,NA,NA,NA
15,"Sallisaw",2022-10-10,8410,441907.1214,441907.1214,NA,NA,NA
30,"Tahlequah",2022-10-10,16463,302239.8278,302239.8278,NA,NA,NA
23,"Muskogee",2022-10-17,146155.7622,146155.7622,146155.7622,NA,NA,NA
15,"Sallisaw",2022-10-17,222341.4489,222341.4489,222341.4489,NA,NA,NA
30,"Tahlequah",2022-10-17,164393.4667,164393.4667,164393.4667,NA,NA,NA
30,"Tahlequah",2022-10-24,99942.0002452393,99942.0002452393,99942.0002452392,NA,NA,NA
23,"Muskogee",2022-10-24,53691.2209770797,53691.2209770797,53691.2209770797,NA,NA,NA
15,"Sallisaw",2022-10-24,111038.078854506,111038.078854506,111038.078854506,NA,NA,NA
